"CLAY","ClayLoam","SandyClay","SandyClayLoam","SiltyClay"
"1",0.902,0.046,0.002,0.048,0.002
"2",0.922,0.012,0.012,0.052,0.002
"3",0.972,0,0,0.028,0
"4",0.948,0.012,0,0.04,0
"5",0.21,0.066,0,0.724,0
"6",0.278,0.034,0,0.686,0.002
"7",0.762,0.06,0.056,0.122,0
"8",0.28,0.02,0.65,0.05,0
"9",0.172,0.106,0,0.712,0.01
"10",0.728,0.06,0,0.124,0.088
"11",0.906,0.034,0,0.06,0
"12",0.114,0.648,0,0.214,0.024
"13",0.728,0.112,0,0.14,0.02
"14",0.214,0.066,0.002,0.706,0.012
"15",0.936,0,0,0.064,0
"16",0.834,0.06,0,0.092,0.014
"17",0.944,0.028,0.004,0.012,0.012
"18",0.954,0.038,0,0.006,0.002
"19",0.938,0,0.028,0.034,0
"20",0.976,0.002,0.01,0.012,0
"21",0.818,0.03,0.008,0.136,0.008
"22",0.936,0.022,0,0.038,0.004
"23",0.93,0.04,0,0.03,0
"24",0.948,0.008,0.01,0.034,0
"25",0.868,0.002,0.058,0.072,0
"26",0.92,0.018,0.014,0.048,0
"27",0.268,0.682,0,0.048,0.002
"28",0.328,0,0,0.672,0
"29",0.838,0.04,0,0.122,0
"30",0.994,0.002,0,0.004,0
"31",0.972,0.01,0,0.016,0.002
"32",0.278,0.02,0.016,0.684,0.002
"33",0.826,0.054,0,0.118,0.002
"34",0.844,0.074,0.002,0.068,0.012
"35",0.036,0.11,0,0.714,0.14
"36",0.682,0.162,0,0.076,0.08
"37",0.96,0.024,0,0.004,0.012
"38",0.15,0.69,0,0.14,0.02
"39",0.034,0.176,0,0.758,0.032
"40",0.302,0.632,0,0.056,0.01
"41",0.14,0.144,0,0.66,0.056
"42",0.204,0.054,0,0.102,0.64
"43",0.17,0.646,0,0.134,0.05
"44",0.874,0.05,0.002,0.068,0.006
"45",0.906,0.008,0,0.08,0.006
"46",0.952,0.004,0,0.044,0
"47",0.95,0.012,0.012,0.026,0
"48",0.168,0.706,0.024,0.102,0
"49",0.754,0.07,0,0.17,0.006
"50",0.962,0.006,0.002,0.03,0
